"company_code","company_name","board","listing_date","industry","city","total_market_cap_yi","float_market_cap_yi","pe","is_current_year_new","market_cap_rank","is_top10_market_cap"
"920284.BJ","灵鸽科技","北证","2023-12-19","专用设备制造业","无锡市",24.5618,12.6186,-227.5283,FALSE,87,FALSE
"920160.BJ","北矿检测","北证","2025-11-18","专业技术服务业","北京市",24.0154,5.4035,28.5488,FALSE,88,FALSE
"920001.BJ","纬达光电","北证","2022-12-27","计算机、通信和其他电子设备制造业","佛山市",23.7706,6.8765,-76.1155,FALSE,89,FALSE
"920188.BJ","悦龙科技","北证","2026-03-30","橡胶和塑料制品业","莱州市",23.7112,5.6551,24.3017,TRUE,90,FALSE
"920807.BJ","奔朗新材","北证","2022-12-20","非金属矿物制品业","佛山市",23.699,11.2246,171.7477,FALSE,91,FALSE
"920122.BJ","中纺标","北证","2022-09-27","专业技术服务业","北京市",23.697,4.8378,100.5741,FALSE,92,FALSE
"920885.BJ","星辰科技","北证","2021-07-08","仪器仪表制造业","桂林市",23.6756,8.3027,84.4366,FALSE,93,FALSE
"920021.BJ","流金科技","北证","2020-07-27","电信、广播电视和卫星传输服务","北京市",23.6385,15.668,166.7738,FALSE,94,FALSE
"920005.BJ","鼎佳精密","北证","2025-07-31","计算机、通信和其他电子设备制造业","昆山市",23.5222,6.0931,44.8477,FALSE,95,FALSE
"920036.BJ","觅睿科技","北证","2026-03-09","计算机、通信和其他电子设备制造业","杭州市",23.4993,5.6399,31.5367,TRUE,96,FALSE
"920046.BJ","亿能电力","北证","2022-10-13","电气机械和器材制造业","无锡市",23.4971,8.1376,153.0701,FALSE,97,FALSE
"920526.BJ","凯华材料","北证","2022-12-22","计算机、通信和其他电子设备制造业","天津市",23.4951,7.6535,151.1881,FALSE,98,FALSE
"920357.BJ","雅葆轩","北证","2022-11-18","计算机、通信和其他电子设备制造业","芜湖市",23.059,8.0054,30.9486,FALSE,99,FALSE
"920223.BJ","荣亿精密","北证","2022-06-09","通用设备制造业","嘉兴市",22.9951,7.6965,-115.29,FALSE,100,FALSE
"920159.BJ","农大科技","北证","2026-01-28","化学原料和化学制品制造业","肥城市",22.9748,4.3531,16.1214,TRUE,101,FALSE
"920099.BJ","瑞华技术","北证","2024-09-25","专业技术服务业","常州市",22.9743,11.8204,29.3485,FALSE,102,FALSE
