"company_code","company_name","board","listing_date","province","city","industry","strategic_sector","is_bse","is_high_tech","is_specialized_new","longitude","latitude"
"920375.BJ","派诺科技","北证","2023-12-14","广东省","珠海市","软件和信息技术服务业","数字经济",TRUE,TRUE,TRUE,113.552724,22.255899
"920641.BJ","格利尔","北证","2022-12-02","江苏省","徐州市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,117.184811,34.261792
"920000.BJ","安徽凤凰","北证","2020-12-23","安徽省","蚌埠市","汽车制造业","高端制造",TRUE,TRUE,TRUE,117.363228,32.939667
"920496.BJ","许昌智能","北证","2024-01-26","河南省","许昌市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,113.826063,34.022956
"920925.BJ","锦好医疗","北证","2021-10-25","广东省","惠州市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,114.412599,23.079404
"920866.BJ","绿亨科技","北证","2022-12-09","广东省","广州市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,113.280637,23.125178
"920058.BJ","华洋赛车","北证","2023-08-10","浙江省","丽水市","铁路、船舶、航空航天和其他运输设备制造业","高端制造",TRUE,TRUE,TRUE,119.921786,28.451993
"920634.BJ","新威凌","北证","2022-11-24","湖南省","长沙市","金属制品业","高端制造",TRUE,TRUE,TRUE,112.982279,28.19409
"920575.BJ","*ST康乐","北证","2023-03-15","北京","北京市","医药制造业","生命健康",TRUE,TRUE,TRUE,116.405285,39.904989
"920351.BJ","华光源海","北证","2022-12-29","湖南省","长沙市","多式联运和运输代理业","专精特新服务",TRUE,FALSE,TRUE,112.982279,28.19409
"920427.BJ","华维设计","北证","2021-02-05","江西省","南昌市","专业技术服务业","专精特新服务",TRUE,FALSE,FALSE,115.892151,28.676493
"920455.BJ","汇隆活塞","北证","2023-06-21","辽宁省","大连市","通用设备制造业","高端制造",TRUE,TRUE,TRUE,121.618622,38.91459
"920262.BJ","太湖雪","北证","2022-12-30","江苏省","苏州市","纺织业","专精特新服务",TRUE,FALSE,FALSE,120.619585,31.299379
"920857.BJ","泓禧科技","北证","2022-02-28","重庆","重庆市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,FALSE,106.504962,29.533155
"920118.BJ","太湖远大","北证","2024-08-22","浙江省","湖州市","橡胶和塑料制品业","新材料",TRUE,FALSE,FALSE,120.102398,30.867198
"920263.BJ","中航泰达","北证","2020-07-27","北京","北京市","生态保护和环境治理业","绿色低碳",TRUE,TRUE,FALSE,116.405285,39.904989
"920436.BJ","大地电气","北证","2021-11-15","江苏省","南通市","汽车制造业","高端制造",TRUE,TRUE,FALSE,120.864608,32.016212
"920075.BJ","柏星龙","北证","2022-12-14","广东省","深圳市","印刷和记录媒介复制业","专精特新服务",TRUE,FALSE,TRUE,114.085947,22.547
"920974.BJ","凯大催化","北证","2023-03-08","浙江省","杭州市","化学原料和化学制品制造业","新材料",TRUE,FALSE,TRUE,120.153576,30.287459
"920014.BJ","特瑞斯","北证","2022-12-13","江苏省","常州市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,119.946973,31.772752
"920419.BJ","路斯股份","北证","2022-03-11","山东省","寿光市","农副食品加工业","专精特新服务",TRUE,FALSE,FALSE,118.852534,37.029892
"920765.BJ","美之高","北证","2021-07-05","广东省","深圳市","家具制造业","专精特新服务",TRUE,FALSE,FALSE,114.085947,22.547
"920580.BJ","科创新材","北证","2022-05-13","河南省","洛阳市","非金属矿物制品业","新材料",TRUE,FALSE,FALSE,112.434468,34.663041
"920278.BJ","鹿得医疗","北证","2020-07-27","江苏省","南通市","专用设备制造业","高端制造",TRUE,TRUE,FALSE,120.864608,32.016212
"920212.BJ","智新电子","北证","2021-06-08","山东省","潍坊市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,119.107078,36.70925
"920230.BJ","欧康医药","北证","2022-12-09","四川省","邛崃市","医药制造业","生命健康",TRUE,TRUE,TRUE,103.376512,30.388736
"920445.BJ","龙竹科技","北证","2020-07-27","福建省","南平市","家具制造业","专精特新服务",TRUE,FALSE,FALSE,118.178459,26.635627
"920110.BJ","雷特科技","北证","2022-12-06","广东省","珠海市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,113.552724,22.255899
"920471.BJ","美邦科技","北证","2023-05-25","河北省","石家庄市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,114.502461,38.045474
"920016.BJ","中草香料","北证","2024-09-13","安徽省","蚌埠市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,117.363228,32.939667
"920245.BJ","威博液压","北证","2022-01-06","江苏省","淮安市","通用设备制造业","高端制造",TRUE,TRUE,TRUE,119.021265,33.597506
"920685.BJ","新芝生物","北证","2022-10-10","浙江省","宁波市","仪器仪表制造业","高端制造",TRUE,TRUE,TRUE,121.549792,29.868388
"920553.BJ","凯腾精工","北证","2021-08-06","北京","北京市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,116.405285,39.904989
"920957.BJ","汉维科技","北证","2022-12-14","广东省","东莞市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,113.746262,23.046237
"920871.BJ","派特尔","北证","2022-07-22","广东省","珠海市","橡胶和塑料制品业","新材料",TRUE,FALSE,FALSE,113.552724,22.255899
"920478.BJ","峆一药业","北证","2023-02-23","安徽省","天长市","医药制造业","生命健康",TRUE,TRUE,TRUE,118.972913,32.721214
"920950.BJ","迅安科技","北证","2023-01-11","江苏省","常州市","专用设备制造业","高端制造",TRUE,TRUE,FALSE,119.946973,31.772752
"920926.BJ","鸿智科技","北证","2023-08-08","广东省","湛江市","电气机械和器材制造业","高端制造",TRUE,TRUE,FALSE,110.364977,21.274898
"920275.BJ","驱动力","北证","2021-01-25","广东省","广州市","农副食品加工业","专精特新服务",TRUE,FALSE,TRUE,113.280637,23.125178
"920718.BJ","合肥高科","北证","2022-12-22","安徽省","合肥市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,117.283042,31.86119
"920719.BJ","宁新新材","北证","2023-05-26","江西省","宜春市","非金属矿物制品业","新材料",TRUE,FALSE,FALSE,114.391136,27.8043
"920931.BJ","无锡鼎邦","北证","2024-04-08","江苏省","无锡市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,120.301663,31.574729
"920508.BJ","殷图网联","北证","2020-07-27","北京","北京市","软件和信息技术服务业","数字经济",TRUE,TRUE,TRUE,116.405285,39.904989
"920300.BJ","辰光医疗","北证","2022-12-07","上海","上海市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,121.472644,31.231706
"920855.BJ","浙江大农","北证","2022-12-29","浙江省","台州市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,121.428599,28.661378
"920132.BJ","泰鹏智能","北证","2023-11-16","山东省","肥城市","家具制造业","专精特新服务",TRUE,FALSE,TRUE,116.744762,36.112514
"920802.BJ","保丽洁","北证","2023-02-06","江苏省","张家港市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,120.627279,31.907812
"920469.BJ","富恒新材","北证","2023-09-18","广东省","深圳市","橡胶和塑料制品业","新材料",TRUE,FALSE,FALSE,114.085947,22.547
"920057.BJ","百甲科技","北证","2023-03-14","江苏省","徐州市","金属制品业","高端制造",TRUE,TRUE,FALSE,117.184811,34.261792
"920781.BJ","瑞奇智造","北证","2022-12-26","四川省","成都市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,104.065735,30.659462
"920832.BJ","齐鲁华信","北证","2021-02-23","山东省","淄博市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,118.047648,36.814939
"920856.BJ","浩淼科技","北证","2020-12-25","安徽省","明光市","专用设备制造业","高端制造",TRUE,TRUE,FALSE,118.140727,32.811836
"920519.BJ","万德股份","北证","2023-09-15","陕西省","西安市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,108.948024,34.263161
"920679.BJ","前进科技","北证","2023-11-10","浙江省","丽水市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,119.921786,28.451993
"920030.BJ","德众汽车","北证","2020-11-27","湖南省","怀化市","零售业","专精特新服务",TRUE,FALSE,TRUE,109.97824,27.550082
"920266.BJ","生物谷","北证","2020-07-27","云南省","弥勒市","医药制造业","生命健康",TRUE,TRUE,FALSE,103.389766,24.226172
"920422.BJ","润普食品","北证","2023-03-01","江苏省","连云港市","食品制造业","专精特新服务",TRUE,FALSE,TRUE,119.178821,34.600018
"920608.BJ","丰安股份","北证","2022-12-16","浙江省","金华市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,119.649506,29.089524
"920717.BJ","瑞星股份","北证","2023-07-03","河北省","衡水市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,115.665993,37.735097
"920260.BJ","中寰股份","北证","2021-11-15","四川省","成都市","仪器仪表制造业","高端制造",TRUE,TRUE,FALSE,104.065735,30.659462
"920527.BJ","夜光明","北证","2022-10-27","浙江省","台州市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,121.428599,28.661378
"920810.BJ","春光智能","北证","2022-12-16","辽宁省","锦州市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,121.135742,41.119269
"920504.BJ","博迅生物","北证","2023-08-17","上海","上海市","仪器仪表制造业","高端制造",TRUE,TRUE,FALSE,121.472644,31.231706
"920370.BJ","新安洁","北证","2020-07-27","重庆","重庆市","公共设施管理业","专精特新服务",TRUE,FALSE,TRUE,106.504962,29.533155
"920145.BJ","恒合股份","北证","2021-11-15","北京","北京市","仪器仪表制造业","高端制造",TRUE,TRUE,TRUE,116.405285,39.904989
"920267.BJ","鑫汇科","北证","2022-05-27","广东省","深圳市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,114.085947,22.547
"920146.BJ","华阳变速","北证","2021-07-20","湖北省","十堰市","汽车制造业","高端制造",TRUE,TRUE,TRUE,110.787916,32.646907
"920895.BJ","花溪科技","北证","2023-04-06","河南省","新乡市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,113.883991,35.302616
"920414.BJ","欧普泰","北证","2022-12-12","上海","上海市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,121.472644,31.231706
"920970.BJ","大禹生物","北证","2022-05-18","山西省","运城市","食品制造业","专精特新服务",TRUE,FALSE,TRUE,111.003957,35.022778
"920149.BJ","旭杰科技","北证","2020-07-27","江苏省","苏州市","专业技术服务业","专精特新服务",TRUE,FALSE,FALSE,120.619585,31.299379
"920090.BJ","*ST同辉","北证","2021-08-09","北京","北京市","软件和信息技术服务业","数字经济",TRUE,TRUE,FALSE,116.405285,39.904989
"920023.BJ","*ST田野","北证","2023-02-02","广西壮族自治区","北海市","酒、饮料和精制茶制造业","专精特新服务",TRUE,FALSE,TRUE,109.119254,21.473343
"920305.BJ","*ST云创","北证","2021-08-26","江苏省","南京市","软件和信息技术服务业","数字经济",TRUE,TRUE,FALSE,118.767413,32.041544
